source_file,slug,part,part_id,season,subseason,wknum,seq,cycle_sun,cycle_wk,chant_group_id,status,notes
GNM-01-OT,in-excelso-throno,in,1,OT,OT,1,,,,20,RESOLVED,all days
GNM-01-OT,jubilate-deo-omnis,of,8,OT,OT,1,,,,718,RESOLVED,all days
GNM-01-OT,notas-mihi,co,9,OT,OT,1,,,,6934,RESOLVED,all days
GNM-01-OT,venite-post-me,co,9,OT,OT,1,2,,,552,RESOLVED,Mon if Baptism not on Sun
GNM-02-OT,omnis-terra,in,1,OT,OT,2,,,,13,RESOLVED,all days
GNM-02-OT,jubilate-deo-universa,of,8,OT,OT,2,,,,937,RESOLVED,all days
GNM-02-OT,laetabimur,co,9,OT,OT,2,,,,1296,RESOLVED,default co
GNM-02-OT,dicit-andreas,co,9,OT,OT,2,1,2,,1021,RESOLVED,Sunday B
GNM-02-OT,dicit-dominus-implete-hydrias,co,9,OT,OT,2,1,0,,,NEEDS_INPUT,Sunday C; NO chant_group found
GNM-02-OT,multitudo-languentium,co,9,OT,OT,2,5,,,1267,RESOLVED,Thursday
GNM-02-OT,ego-vos-elegi,co,9,OT,OT,2,6,,,470,RESOLVED,Friday
GNM-03-OT,adorate-deum,in,1,OT,OT,3,,,,1123,RESOLVED,default in
GNM-03-OT,dominus-secus-mare,in,1,OT,OT,3,1,1,,693,RESOLVED,Sunday A
GNM-03-OT,dominus-secus-mare,in,1,OT,OT,3,1,2,,693,RESOLVED,Sunday B
GNM-03-OT,dextera-domini,of,8,OT,OT,3,,,,47,RESOLVED,all days
GNM-03-OT,mirabantur,co,9,OT,OT,3,,,,1148,RESOLVED,default co
GNM-03-OT,venite-post-me,co,9,OT,OT,3,1,1,,552,RESOLVED,Sunday A
GNM-03-OT,venite-post-me,co,9,OT,OT,3,1,2,,552,RESOLVED,Sunday B
GNM-03-OT,comedite-pinguia,co,9,OT,OT,3,1,0,,496,RESOLVED,Sunday C
GNM-03-OT,quicumque-fecerit,co,9,OT,OT,3,3,,,957,RESOLVED,Tuesday
GNM-04-OT,laetetur-cor,in,1,OT,OT,4,,,,864,RESOLVED,all days
GNM-04-OT,bonum-est-confiteri,of,8,OT,OT,4,,,,1194,RESOLVED,all days
GNM-04-OT,illumina-faciem,co,9,OT,OT,4,,,,640,RESOLVED,default co
GNM-04-OT,beati-mundo-corde,co,9,OT,OT,4,1,1,,345,RESOLVED,Sunday A
