"(note: Psalm numbering
as in the Vulgate)",Maundy Thursday,Good Friday,Holy Saturday,Practices
,Matins,,,
,First Nocturn (readings from the Lamentations of Jeremiah),,,
,Latin,Latin,Latin,
Antiphon,Zelus domus,Astiterunt reges terrae,In pace,
Psalm,Psalm 68 (Psalm 68),Psalm 2 (Psalm 2),Psalm 4 (Psalm 4),1st candle extinguished at end[20]
Antiphon,Avertantur retrorsum,Diviserunt sibi,Habitabit in tabernaculo,
Psalm,Psalm 69 (Psalm 69),Psalm 21 (Psalm 21),Psalm 14 (Psalm 14),2nd candle extinguished
Antiphon,Deus meus eripe me,Insurrexerunt in me,Caro mea,
Psalm,Psalm 70[25],Psalm 26[26],Psalm 15[27],3rd candle extinguished at end
Versicle,Avertantur retrorsum,Diviserunt sibi,In pace in idipsum,
,Our Father (silent),,,
1st reading,Lamentations 1:1–1:5,Lamentations 2:8–2:11,Lamentations 3:22–3:30,
1st responsory,In monte Oliveti,Omnes amici mei,Sicut ovis,
2nd reading,Lamentations 1:6–1:9,Lamentations 2:12–2:15,Lamentations 4:1–4:6,
2nd responsory,Tristis est anima mea,Velum templi,Jerusalem surge,
3rd reading,Lamentations 1:10–1:14,Lamentations 3:1–3:9,Lamentations 5:1–5:11,
3rd responsory,Ecce vidimus,Vinea mea,Plange quasi virgo,
,Second Nocturn (readings from Saint Augustine's Commentaries on the Psalms),,,
Antiphon,Liberavit Dominus,Vim faciebant,Elevamini,
Psalm,Psalm 71[28],Psalm 37[29],Psalm 23[30],4th candle extinguished at end
Antiphon,Cogitaverunt impii,Confundantur,Credo videre,
Psalm,Psalm 72[31],Psalm 39[32],Psalm 26[33],5th candle extinguished at end
Antiphon,"Exsurge, Domine",Alieni insurrexerunt,"Domine, abstraxisti",
Psalm,Psalm 73[34],Psalm 53[35],Psalm 29[36],6th candle extinguished at end
Versicle,"Deus meus, eripe me",Insurrexerunt in me,Tu autem,
,Our Father (silent),,,
4th reading,from Comm. on Psalm 54[37],from Commentary on Psalm 63[38],,
4th responsory,Amicus meus,Tamquam ad latronem,Recessit pastor noster,
5th reading,from Comm. on Psalm 54[37],from Commentary on Psalm 63[38],,
5th responsory,Judas mercator pessimus,Tenebrae factae sunt,O vos omnes,
6th reading,from Comm. on Psalm 54[37],from Commentary on Psalm 63[38],,
6th responsory,Unus ex discipulis,Animam meam dilectam,Ecce quomodo,
,Third Nocturn (readings from two New Testament epistles),,,
Antiphon,Dixi iniquis,Ab insurgentibus,Deus adjuvat me,
Psalm,Psalm 74[39],Psalm 58[40],Psalm 53[41],7th candle extinguished at end
Antiphon,Terra tremuit,Longe fecisti,In pace factus,
Psalm,Psalm 75[42],Psalm 87[43],Psalm 75[44],8th candle extinguished at end
Antiphon,In die tribulationis,Captabunt,Factus sum,
Psalm,Psalm 76[45],Psalm 93[46],Psalm 87[47],9th candle extinguished at end
Versicle,"Exsurge, Domine",Locuti sunt adversum me,In pace factus est,
,Our Father (silent),,,
7th reading,1 Corinthians 11:17–11:22,Hebrews 4:11–4:15,Hebrews 9:11–9:14,
7th responsory,Eram quasi agnus innocens,Tradiderunt me,Astiterunt reges terrae,
8th reading,1 Corinthians 11:23–11:26,Hebrews 4:16–5:3,Hebrews 9:15–9:18,
8th responsory,Una hora,Jesum tradidit,Aestimatus sum,
9th reading,1 Corinthians 11:27–11:34,Hebrews 5:4–5:10,Hebrews 9:19–9:22,
9th responsory,Seniores populi,Caligaverunt oculi mei,Sepulto Domino,
,Lauds,,,
Antiphon,"Justificeris, Domine",Proprio Filio,O mors,
Psalm,Psalm 50[48] (Miserere),,,10th candle extinguished at end
Antiphon,Dominus tamquam ovis,Anxiatus est,Plangent eum,
Psalm,Psalm 89[49],Psalm 142[50],"Psalm 91[51] (pre-1912)
Psalm 91[52] (from 1912)",11th candle extinguished at end
Antiphon,Contritum est cor meum,Ait latro ad latronem,Attendite,
Psalm,"Psalms 62+66[53] (pre-1912)
Psalm 35[54] (from 1912)","Psalms 62+66[53] (pre-1912)
Psalm 84[55] (from 1912)","Psalms 62+66[53] (pre-1912)
Psalm 63[56] (from 1912)",12th candle extinguished at end
Antiphon,Exhortatus es,Dum conturbata,A porta inferi,
"Old Testament
canticle","Canticle of Moses
Exodus 15:1–15:18","Canticle of Habacuc
Habakkuk 3:2–3:19","Canticle of Ezechias
Isaiah 38:10–38:20",13th candle extinguished at end
Antiphon,Oblatus est,Memento mei,O vos omnes qui transitis,
Psalm,"Psalms 148+149+150[57] (pre-1912)
Psalm 146[58] (from 1912)","Psalms 148+149+150[57] (pre-1912)
Psalm 147[59] (from 1912)","Psalms 148+149+150[57] (pre-1912)
Psalm 150[60] (from 1912)",14th candle extinguished at end
Versicle,Homo pacis meae,Collocavit me,Caro mea,
Antiphon,Traditor autem,Posuerunt super caput,Mulieres sedentes,
Benedictus,"Canticle of Zachary
Luke 1:68–1:79",,,"Altar candles extinguished at
different verses of Benedictus;
Last burning candle hidden
after repeat of antiphon"
,Christus factus est (based on Philippians 2:8–2:9),,,
,Our Father (silent),,,
,"Psalm 50[61] (Miserere), omitted after 1955[62][63]",,,
Prayer,Respice quaesumus,,,"Followed by strepitus;
last candle brought back"
